공급사,고객사,관계유형,제품·프로그램,설명,신뢰도,출처,대분류,서브섹터
한미반도체,SK하이닉스,부품·소재·장비 공급,HBM,HBM 장비 – TC본더 공급,명시,제품체인,반도체,IDM
한미반도체,삼성전자,부품·소재·장비 공급,HBM,HBM 장비 – TC본더 공급,명시,제품체인,반도체,IDM
피에스케이홀딩스,SK하이닉스,부품·소재·장비 공급,HBM,HBM 장비 – 리플로우/디스컴 공급,명시,제품체인,반도체,IDM
피에스케이홀딩스,삼성전자,부품·소재·장비 공급,HBM,HBM 장비 – 리플로우/디스컴 공급,명시,제품체인,반도체,IDM
프로텍,SK하이닉스,부품·소재·장비 공급,HBM,HBM 장비 – 디스펜서/레이저 공급,명시,제품체인,반도체,IDM
프로텍,삼성전자,부품·소재·장비 공급,HBM,HBM 장비 – 디스펜서/레이저 공급,명시,제품체인,반도체,IDM
테크윙,SK하이닉스,부품·소재·장비 공급,HBM,HBM 장비 – 큐브프로버·번인/핸들러 공급,명시,제품체인,반도체,IDM
테크윙,삼성전자,부품·소재·장비 공급,HBM,HBM 장비 – 큐브프로버·번인/핸들러 공급,명시,제품체인,반도체,IDM
엑시콘,SK하이닉스,부품·소재·장비 공급,HBM,HBM 장비 – 테스터 공급,명시,제품체인,반도체,IDM
엑시콘,삼성전자,부품·소재·장비 공급,HBM,HBM 장비 – 테스터 공급,명시,제품체인,반도체,IDM
와이아이케이,SK하이닉스,부품·소재·장비 공급,HBM,HBM 장비 – 테스터 공급 (웨이퍼 테스터),명시,제품체인,반도체,IDM
와이아이케이,삼성전자,부품·소재·장비 공급,HBM,HBM 장비 – 테스터 공급 (웨이퍼 테스터),명시,제품체인,반도체,IDM
이오테크닉스,SK하이닉스,부품·소재·장비 공급,HBM,HBM 장비 – 레이저 어닐링/마킹 공급,명시,제품체인,반도체,IDM
이오테크닉스,삼성전자,부품·소재·장비 공급,HBM,HBM 장비 – 레이저 어닐링/마킹 공급,명시,제품체인,반도체,IDM
덕산하이메탈,SK하이닉스,부품·소재·장비 공급,HBM,HBM 소재 – 마이크로 솔더볼 공급,명시,제품체인,반도체,IDM
덕산하이메탈,삼성전자,부품·소재·장비 공급,HBM,HBM 소재 – 마이크로 솔더볼 공급,명시,제품체인,반도체,IDM
한솔케미칼,SK하이닉스,부품·소재·장비 공급,HBM,HBM 소재 – 언더필·과산화수소 공급,명시,제품체인,반도체,IDM
한솔케미칼,삼성전자,부품·소재·장비 공급,HBM,HBM 소재 – 언더필·과산화수소 공급,명시,제품체인,반도체,IDM
엠케이전자,SK하이닉스,부품·소재·장비 공급,HBM,HBM 소재 – 본딩와이어/솔더 공급,명시,제품체인,반도체,IDM
엠케이전자,삼성전자,부품·소재·장비 공급,HBM,HBM 소재 – 본딩와이어/솔더 공급,명시,제품체인,반도체,IDM
인텍플러스,SK하이닉스,부품·소재·장비 공급,HBM,HBM 후공정 검사 공급,명시,제품체인,반도체,IDM
인텍플러스,삼성전자,부품·소재·장비 공급,HBM,HBM 후공정 검사 공급,명시,제품체인,반도체,IDM
오로스테크놀로지,SK하이닉스,부품·소재·장비 공급,HBM,HBM 후공정 검사 공급 (오버레이),명시,제품체인,반도체,IDM
오로스테크놀로지,삼성전자,부품·소재·장비 공급,HBM,HBM 후공정 검사 공급 (오버레이),명시,제품체인,반도체,IDM
한국카본,HD현대중공업,부품·소재·장비 공급,LNG운반선,LNG운반선 보냉재(멤브레인 패널) 공급,명시,제품체인,조선·방산·우주항공,조선
한국카본,삼성중공업,부품·소재·장비 공급,LNG운반선,LNG운반선 보냉재(멤브레인 패널) 공급,명시,제품체인,조선·방산·우주항공,조선
한국카본,한화오션,부품·소재·장비 공급,LNG운반선,LNG운반선 보냉재(멤브레인 패널) 공급,명시,제품체인,조선·방산·우주항공,조선
동성화인텍,HD현대중공업,부품·소재·장비 공급,LNG운반선,LNG운반선 보냉재(멤브레인 패널) 공급,명시,제품체인,조선·방산·우주항공,조선
동성화인텍,삼성중공업,부품·소재·장비 공급,LNG운반선,LNG운반선 보냉재(멤브레인 패널) 공급,명시,제품체인,조선·방산·우주항공,조선
동성화인텍,한화오션,부품·소재·장비 공급,LNG운반선,LNG운반선 보냉재(멤브레인 패널) 공급,명시,제품체인,조선·방산·우주항공,조선
한화엔진,HD현대중공업,부품·소재·장비 공급,LNG운반선,LNG운반선 엔진 공급,명시,제품체인,조선·방산·우주항공,조선
한화엔진,삼성중공업,부품·소재·장비 공급,LNG운반선,LNG운반선 엔진 공급,명시,제품체인,조선·방산·우주항공,조선
한화엔진,한화오션,부품·소재·장비 공급,LNG운반선,LNG운반선 엔진 공급,명시,제품체인,조선·방산·우주항공,조선
HD현대마린엔진,HD현대중공업,부품·소재·장비 공급,LNG운반선,LNG운반선 엔진 공급,명시,제품체인,조선·방산·우주항공,조선
HD현대마린엔진,삼성중공업,부품·소재·장비 공급,LNG운반선,LNG운반선 엔진 공급,명시,제품체인,조선·방산·우주항공,조선
HD현대마린엔진,한화오션,부품·소재·장비 공급,LNG운반선,LNG운반선 엔진 공급,명시,제품체인,조선·방산·우주항공,조선
태광,HD현대중공업,부품·소재·장비 공급,LNG운반선,LNG운반선 초저온 피팅·밸브 공급,명시,제품체인,조선·방산·우주항공,조선
태광,삼성중공업,부품·소재·장비 공급,LNG운반선,LNG운반선 초저온 피팅·밸브 공급,명시,제품체인,조선·방산·우주항공,조선
태광,한화오션,부품·소재·장비 공급,LNG운반선,LNG운반선 초저온 피팅·밸브 공급,명시,제품체인,조선·방산·우주항공,조선
성광벤드,HD현대중공업,부품·소재·장비 공급,LNG운반선,LNG운반선 초저온 피팅·밸브 공급,명시,제품체인,조선·방산·우주항공,조선
성광벤드,삼성중공업,부품·소재·장비 공급,LNG운반선,LNG운반선 초저온 피팅·밸브 공급,명시,제품체인,조선·방산·우주항공,조선
성광벤드,한화오션,부품·소재·장비 공급,LNG운반선,LNG운반선 초저온 피팅·밸브 공급,명시,제품체인,조선·방산·우주항공,조선
하이록코리아,HD현대중공업,부품·소재·장비 공급,LNG운반선,LNG운반선 초저온 피팅·밸브 공급,명시,제품체인,조선·방산·우주항공,조선
하이록코리아,삼성중공업,부품·소재·장비 공급,LNG운반선,LNG운반선 초저온 피팅·밸브 공급,명시,제품체인,조선·방산·우주항공,조선
하이록코리아,한화오션,부품·소재·장비 공급,LNG운반선,LNG운반선 초저온 피팅·밸브 공급,명시,제품체인,조선·방산·우주항공,조선
디케이락,HD현대중공업,부품·소재·장비 공급,LNG운반선,LNG운반선 초저온 피팅·밸브 공급,명시,제품체인,조선·방산·우주항공,조선
디케이락,삼성중공업,부품·소재·장비 공급,LNG운반선,LNG운반선 초저온 피팅·밸브 공급,명시,제품체인,조선·방산·우주항공,조선
디케이락,한화오션,부품·소재·장비 공급,LNG운반선,LNG운반선 초저온 피팅·밸브 공급,명시,제품체인,조선·방산·우주항공,조선
현대힘스,HD현대중공업,부품·소재·장비 공급,LNG운반선,LNG운반선 블록 공급,명시,제품체인,조선·방산·우주항공,조선
현대힘스,삼성중공업,부품·소재·장비 공급,LNG운반선,LNG운반선 블록 공급,명시,제품체인,조선·방산·우주항공,조선
현대힘스,한화오션,부품·소재·장비 공급,LNG운반선,LNG운반선 블록 공급,명시,제품체인,조선·방산·우주항공,조선
세진중공업,HD현대중공업,부품·소재·장비 공급,LNG운반선,LNG운반선 데크하우스·LPG탱크 공급,명시,제품체인,조선·방산·우주항공,조선
세진중공업,삼성중공업,부품·소재·장비 공급,LNG운반선,LNG운반선 데크하우스·LPG탱크 공급,명시,제품체인,조선·방산·우주항공,조선
