대분류,서브섹터,제품체인,체인단계,기업명,비고
반도체,IDM,,메모리 IDM,삼성전자,DRAM·NAND·파운드리
반도체,IDM,,메모리 IDM,SK하이닉스,DRAM·NAND·HBM
반도체,IDM,HBM 밸류체인 (SK하이닉스/삼성전자 중심),장비 – TC본더,한미반도체,
반도체,IDM,HBM 밸류체인 (SK하이닉스/삼성전자 중심),장비 – 리플로우/디스컴,피에스케이홀딩스,
반도체,IDM,HBM 밸류체인 (SK하이닉스/삼성전자 중심),장비 – 디스펜서/레이저,프로텍,
반도체,IDM,HBM 밸류체인 (SK하이닉스/삼성전자 중심),장비 – 큐브프로버·번인/핸들러,테크윙,
반도체,IDM,HBM 밸류체인 (SK하이닉스/삼성전자 중심),장비 – 테스터,엑시콘,
반도체,IDM,HBM 밸류체인 (SK하이닉스/삼성전자 중심),장비 – 테스터,와이아이케이,웨이퍼 테스터
반도체,IDM,HBM 밸류체인 (SK하이닉스/삼성전자 중심),장비 – 레이저 어닐링/마킹,이오테크닉스,
반도체,IDM,HBM 밸류체인 (SK하이닉스/삼성전자 중심),소재 – 마이크로 솔더볼,덕산하이메탈,
반도체,IDM,HBM 밸류체인 (SK하이닉스/삼성전자 중심),소재 – 언더필·과산화수소,한솔케미칼,
반도체,IDM,HBM 밸류체인 (SK하이닉스/삼성전자 중심),소재 – 본딩와이어/솔더,엠케이전자,
반도체,IDM,HBM 밸류체인 (SK하이닉스/삼성전자 중심),후공정 검사,인텍플러스,
반도체,IDM,HBM 밸류체인 (SK하이닉스/삼성전자 중심),후공정 검사,오로스테크놀로지,오버레이
반도체,IDM,HBM 밸류체인 (SK하이닉스/삼성전자 중심),AI서버 기판(MLB),이수페타시스,
반도체,IDM,HBM 밸류체인 (SK하이닉스/삼성전자 중심),FC-BGA,삼성전기,
반도체,IDM,HBM 밸류체인 (SK하이닉스/삼성전자 중심),FC-BGA,대덕전자,
반도체,IDM,HBM 밸류체인 (SK하이닉스/삼성전자 중심),FC-BGA,코리아써키트,
반도체,파운드리,,파운드리,삼성전자,선단공정
반도체,파운드리,,파운드리,DB하이텍,8인치 아날로그/전력
반도체,파운드리,,디자인하우스,가온칩스,
반도체,파운드리,,디자인하우스,에이디테크놀로지,
반도체,파운드리,,디자인하우스,에이직랜드,
반도체,파운드리,,디자인하우스,코아시아,
반도체,파운드리,,IP,오픈엣지테크놀로지,
반도체,파운드리,,IP,칩스앤미디어,
반도체,파운드리,,IP,퀄리타스반도체,
반도체,장비,전공정,증착(CVD/ALD),원익IPS,
반도체,장비,전공정,증착(CVD/ALD),유진테크,
반도체,장비,전공정,증착(CVD/ALD),테스,
반도체,장비,전공정,증착(CVD/ALD),주성엔지니어링,
반도체,장비,전공정,식각,브이엠,구 에이피티씨
반도체,장비,전공정,세정,제우스,
반도체,장비,전공정,세정,디바이스이엔지,
반도체,장비,전공정,세정,에이피에스홀딩스,
반도체,장비,전공정,열처리/어닐링,예스티,
반도체,장비,전공정,열처리/어닐링,AP시스템,
반도체,장비,전공정,열처리/어닐링,이오테크닉스,레이저
반도체,장비,전공정,CMP,케이씨텍,
반도체,장비,전공정,계측/검사,넥스틴,패턴결함
반도체,장비,전공정,계측/검사,오로스테크놀로지,오버레이
반도체,장비,전공정,계측/검사,파크시스템스,AFM
반도체,장비,전공정,계측/검사,기가비스,기판 광학검사
반도체,장비,후공정,본딩/쏘잉,한미반도체,
반도체,장비,후공정,본딩/쏘잉,이오테크닉스,
반도체,장비,후공정,테스터,엑시콘,
반도체,장비,후공정,테스터,유니테스트,
반도체,장비,후공정,테스터,와이아이케이,
반도체,장비,후공정,테스터,네오셈,SSD
반도체,장비,후공정,핸들러,테크윙,
반도체,장비,후공정,핸들러,미래산업,
반도체,장비,후공정,패키징 자동화,제너셈,
반도체,장비,후공정,패키징 자동화,프로텍,
반도체,장비,후공정,외관검사,인텍플러스,
반도체,장비,팹 인프라,스크러버/칠러,유니셈,
반도체,장비,팹 인프라,스크러버/칠러,GST,
반도체,장비,팹 인프라,가스공급장치(가스캐비닛),케이씨,
반도체,장비,팹 인프라,가스공급장치(가스캐비닛),GST,
반도체,장비,팹 인프라,가스공급장치(가스캐비닛),원익홀딩스,
반도체,장비,팹 인프라,진공펌프,엘오티베큠,
반도체,장비,팹 인프라,RF/플라즈마 전원,뉴파워프라즈마,
반도체,장비,팹 인프라,배관/피팅,아스플로,
반도체,장비,팹 인프라,클린룸/팹 시공,신성이엔지,
반도체,장비,팹 인프라,클린룸/팹 시공,한양이엔지,
반도체,장비,팹 인프라,클린룸/팹 시공,성도이엔지,
반도체,장비,팹 인프라,클린룸/팹 시공,세보엠이씨,
반도체,소재,,포토레지스트/신너,동진쎄미켐,
반도체,소재,,포토레지스트/신너,영창케미칼,
반도체,소재,,포토레지스트/신너,이엔에프테크놀로지,신너
반도체,소재,,프리커서,디엔에프,
