code,name,close,open,high,low,volume,amount,marcap,shares
196170,알테오젠,316500,328500,344000,314000,427149,140386337250,16960077559500,53586343
247540,에코프로비엠,119800,123000,126900,117800,571074,69432785100,11720085993200,97830434
086520,에코프로,83600,86700,89200,81500,1213950,103193719800,11350886307200,135776152
036930,주성엔지니어링,182500,192300,214500,181200,2482242,491957687700,8482804582500,46481121
277810,레인보우로보틱스,415000,450500,468000,410500,85810,36738239000,8050941070000,19399858
950160,코오롱티슈진,76600,90400,92800,74200,588281,47721132800,6508714256000,84970160
240810,원익IPS,124800,127000,140100,121900,3301018,432243390250,6125670844800,49083901
058470,리노공업,72300,75800,80500,72300,864203,65602890600,5510116755000,76211850
319660,피에스케이,184600,197000,208000,180800,1189814,230429556050,5347255404400,28966714
039030,이오테크닉스,359500,381000,409500,358000,130538,49592960750,4428878225000,12319550
298380,에이비엘바이오,79100,82000,84900,77000,375692,30368169200,4428608323300,55987463
000250,삼천당제약,184900,200000,207000,183400,127840,24512617650,4337286572800,23457472
141080,리가켐바이오,113300,121000,127900,111600,433895,51783764400,4194300059400,37019418
222800,심텍,108100,125000,129500,107600,658439,75906506100,4049850941100,37463931
095610,테스,186400,189900,199700,179000,987740,189424224250,3608704000000,19360000
440110,파두,70600,76900,81300,70000,646832,47897335850,3537160746200,50101427
347850,디앤디파마텍,77000,84500,88100,76650,1417670,114950737400,3529495893000,45837609
084370,유진테크,153100,167200,178700,148500,221986,36104423900,3508446030200,22916042
403870,HPSP,41900,44950,47750,41850,3391992,151981785550,3448370000000,82300000
214450,파마리서치,330500,329000,349500,323000,145435,48766340750,3433778664000,10389648
028300,HLB,25650,29550,30500,25650,4620515,125371256050,3416534419950,133198223
214370,케어젠,63600,61700,68200,61100,81773,5305549750,3416274000000,53715000
095340,ISC,153500,152400,169400,151900,317403,50839106350,3253748403000,21197058
214150,클래시스,47450,48550,49950,46800,242497,11636240125,3095432019550,65235659
031980,피에스케이홀딩스,140100,143500,158800,135600,391279,56956603200,3020891539500,21562395
108490,로보티즈,206000,217000,235000,201500,165265,35796625000,3020171768000,14661028
145020,휴젤,245000,244500,259500,242500,55634,13884764750,3014488085000,12304033
131290,티에스이,250500,280500,294000,245500,184789,48933212500,2770887964500,11061429
310210,보로노이,149100,161400,169500,147700,90433,14121559650,2746563495900,18420949
080220,제주반도체,77300,88800,93300,76700,1942830,162706039900,2662430990900,34442833
237690,에스티팜,125900,125900,135400,125700,155150,20170332050,2628268004200,20875838
226950,올릭스,127500,124800,138000,123300,313252,40838350100,2591116582500,20322483
064760,티씨케이,229500,238500,262000,228000,89703,21494823500,2565675972000,11179416
067310,하나마이크론,38200,40150,42850,38200,1745969,70456188050,2539552273200,66480426
